X,Y,Z,formation
179.1145833,-34.92291667,-2233,Dolomite
179.1145833,-34.92291667,-2833,Limestone
179.1145833,-34.92291667,-2533,Limestone
179.1145833,-34.92291667,-3133,Sandstone
179.1145833,-34.92291667,-3733,Shale
179.1145833,-34.92291667,-3433,Shale
179.0604167,-34.86875,-2146,Chalk
179.0354167,-34.84375,-2145,Chalk
179.0854167,-34.89375,-2140,Chalk
179.0770833,-34.88541667,-2105,Chalk
179.0229167,-34.83125,-2102,Chalk
179.06875,-34.87708333,-2063,Chalk
179.0479167,-34.85625,-2051,Chalk
179.05625,-34.86458333,-2041,Chalk
179.0395833,-34.84791667,-2040,Chalk
179.0270833,-34.83541667,-2022,Chalk
179.0895833,-34.89791667,-2017,Chalk
179.0729167,-34.88125,-1998,Chalk
179.03125,-34.83958333,-1986,Chalk
179.0520833,-34.86041667,-1975,Chalk
179.0645833,-34.87291667,-1968,Chalk
179.04375,-34.85208333,-1909,Chalk
179.08125,-34.88958333,-1906,Chalk
179.0604167,-34.86875,-1846,Chalk
179.0354167,-34.84375,-1845,Chalk
179.0854167,-34.89375,-1840,Chalk
179.0770833,-34.88541667,-1805,Chalk
179.06875,-34.87708333,-1763,Chalk
179.0479167,-34.85625,-1751,Chalk
179.05625,-34.86458333,-1741,Chalk
179.0395833,-34.84791667,-1740,Chalk
179.0729167,-34.88125,-1698,Chalk
179.0520833,-34.86041667,-1675,Chalk
179.0645833,-34.87291667,-1668,Chalk
179.04375,-34.85208333,-1609,Chalk
179.08125,-34.88958333,-1606,Chalk
179.0770833,-34.88541667,-1505,Chalk
179.06875,-34.87708333,-1463,Chalk
179.0479167,-34.85625,-1451,Chalk
179.0729167,-34.88125,-1398,Chalk
179.0520833,-34.86041667,-1375,Chalk
179.04375,-34.85208333,-2509,Dolomite
179.08125,-34.88958333,-2506,Dolomite
179.01875,-34.82708333,-2481,Dolomite
179.09375,-34.90208333,-2454,Dolomite
179.0604167,-34.86875,-2446,Dolomite
179.0354167,-34.84375,-2445,Dolomite
179.0854167,-34.89375,-2440,Dolomite
179.0770833,-34.88541667,-2405,Dolomite
179.0229167,-34.83125,-2402,Dolomite
179.06875,-34.87708333,-2363,Dolomite
179.0479167,-34.85625,-2351,Dolomite
179.05625,-34.86458333,-2341,Dolomite
179.0395833,-34.84791667,-2340,Dolomite
179.0270833,-34.83541667,-2322,Dolomite
179.0895833,-34.89791667,-2317,Dolomite
179.0729167,-34.88125,-2298,Dolomite
179.03125,-34.83958333,-2286,Dolomite
179.10625,-34.91458333,-2279,Dolomite
179.0520833,-34.86041667,-2275,Dolomite
179.1020833,-34.91041667,-2271,Dolomite
179.0645833,-34.87291667,-2268,Dolomite
179.0979167,-34.90625,-2259,Dolomite
179.1104167,-34.91875,-2240,Dolomite
179.04375,-34.85208333,-2209,Dolomite
179.08125,-34.88958333,-2206,Dolomite
179.01875,-34.82708333,-2181,Dolomite
179.09375,-34.90208333,-2154,Dolomite
179.0645833,-34.87291667,-2868,Limestone
179.0979167,-34.90625,-2859,Limestone
179.1104167,-34.91875,-2840,Limestone
179.04375,-34.85208333,-2809,Limestone
179.08125,-34.88958333,-2806,Limestone
179.01875,-34.82708333,-2781,Limestone
179.09375,-34.90208333,-2754,Limestone
179.0604167,-34.86875,-2746,Limestone
179.0354167,-34.84375,-2745,Limestone
179.0854167,-34.89375,-2740,Limestone
179.0770833,-34.88541667,-2705,Limestone
179.0229167,-34.83125,-2702,Limestone
179.06875,-34.87708333,-2663,Limestone
179.0479167,-34.85625,-2651,Limestone
179.05625,-34.86458333,-2641,Limestone
179.0395833,-34.84791667,-2640,Limestone
179.0270833,-34.83541667,-2622,Limestone
179.0895833,-34.89791667,-2617,Limestone
179.0729167,-34.88125,-2598,Limestone
179.03125,-34.83958333,-2586,Limestone
179.10625,-34.91458333,-2579,Limestone
179.0520833,-34.86041667,-2575,Limestone
179.1020833,-34.91041667,-2571,Limestone
179.0645833,-34.87291667,-2568,Limestone
179.0979167,-34.90625,-2559,Limestone
179.1104167,-34.91875,-2540,Limestone
179.05625,-34.86458333,-3241,Sandstone
179.0395833,-34.84791667,-3240,Sandstone
179.0270833,-34.83541667,-3222,Sandstone
179.0895833,-34.89791667,-3217,Sandstone
179.03125,-34.83958333,-3186,Sandstone
179.10625,-34.91458333,-3179,Sandstone
179.1020833,-34.91041667,-3171,Sandstone
179.0645833,-34.87291667,-3168,Sandstone
179.0979167,-34.90625,-3159,Sandstone
179.1104167,-34.91875,-3140,Sandstone
179.04375,-34.85208333,-3109,Sandstone
179.08125,-34.88958333,-3106,Sandstone
179.01875,-34.82708333,-3081,Sandstone
179.09375,-34.90208333,-3054,Sandstone
179.0604167,-34.86875,-3046,Sandstone
179.0354167,-34.84375,-3045,Sandstone
179.0854167,-34.89375,-3040,Sandstone
179.0770833,-34.88541667,-3005,Sandstone
179.0229167,-34.83125,-3002,Sandstone
179.06875,-34.87708333,-2963,Sandstone
179.0479167,-34.85625,-2951,Sandstone
179.05625,-34.86458333,-2941,Sandstone
179.0395833,-34.84791667,-2940,Sandstone
179.0270833,-34.83541667,-2922,Sandstone
179.0895833,-34.89791667,-2917,Sandstone
179.0729167,-34.88125,-2898,Sandstone
179.03125,-34.83958333,-2886,Sandstone
179.10625,-34.91458333,-2879,Sandstone
179.0520833,-34.86041667,-2875,Sandstone
179.1020833,-34.91041667,-2871,Sandstone
179.10625,-34.91458333,-3779,Shale
179.1020833,-34.91041667,-3771,Shale
179.0979167,-34.90625,-3759,Shale
179.1104167,-34.91875,-3740,Shale
179.01875,-34.82708333,-3681,Shale
179.09375,-34.90208333,-3654,Shale
179.0229167,-34.83125,-3602,Shale
179.0270833,-34.83541667,-3522,Shale
179.0895833,-34.89791667,-3517,Shale
179.03125,-34.83958333,-3486,Shale
179.10625,-34.91458333,-3479,Shale
