X,Y,Z,formation
179.05625,-34.89791667,-2150,Chalk
179.0645833,-34.88958333,-2150,Chalk
179.10625,-34.88958333,-2150,Chalk
179.01875,-34.83125,-2150,Chalk
179.08125,-34.88125,-2148,Chalk
179.0854167,-34.88125,-2147,Chalk
179.08125,-34.85208333,-2147,Chalk
179.0520833,-34.87708333,-2146,Chalk
179.0604167,-34.86875,-2146,Chalk
179.0604167,-34.86458333,-2146,Chalk
179.0979167,-34.83541667,-2146,Chalk
179.0354167,-34.84375,-2145,Chalk
179.06875,-34.85208333,-2144,Chalk
179.1145833,-34.82708333,-2143,Chalk
179.0354167,-34.88541667,-2142,Chalk
179.1104167,-34.83125,-2142,Chalk
179.0645833,-34.90625,-2141,Chalk
179.0395833,-34.82708333,-2141,Chalk
179.0979167,-34.89791667,-2140,Chalk
179.0854167,-34.89375,-2140,Chalk
179.0729167,-34.87291667,-2140,Chalk
179.10625,-34.83541667,-2140,Chalk
179.0270833,-34.82708333,-2140,Chalk
179.05625,-34.92291667,-2138,Chalk
179.0479167,-34.88541667,-2138,Chalk
179.1020833,-34.85208333,-2138,Chalk
179.10625,-34.87708333,-2137,Chalk
179.06875,-34.86458333,-2137,Chalk
179.0354167,-34.84791667,-2137,Chalk
179.0770833,-34.90208333,-2135,Chalk
179.09375,-34.88541667,-2135,Chalk
179.05625,-34.83958333,-2134,Chalk
179.0354167,-34.82708333,-2134,Chalk
179.0854167,-34.83541667,-2133,Chalk
179.0854167,-34.90625,-2132,Chalk
179.10625,-34.88541667,-2132,Chalk
179.04375,-34.86041667,-2132,Chalk
179.03125,-34.82708333,-2132,Chalk
179.06875,-34.82708333,-2132,Chalk
179.0520833,-34.88958333,-2131,Chalk
179.10625,-34.88125,-2130,Chalk
179.0395833,-34.88125,-2129,Chalk
179.0729167,-34.92291667,-2128,Chalk
179.0895833,-34.88958333,-2128,Chalk
179.05625,-34.86041667,-2128,Chalk
179.0770833,-34.88125,-2127,Chalk
179.0645833,-34.86875,-2126,Chalk
179.10625,-34.83125,-2126,Chalk
179.0520833,-34.91041667,-2125,Chalk
179.08125,-34.88541667,-2125,Chalk
179.0520833,-34.87291667,-2125,Chalk
179.08125,-34.86458333,-2125,Chalk
179.0479167,-34.85208333,-2125,Chalk
179.09375,-34.83958333,-2125,Chalk
